Origin,Airline,Time,On_Time,Late,Probability_Late,Distributions,Parameters
PHX,US,2,182,110,0.3767123287671233,lognorm,"(1.243316803413335, 0.3696965834991112, 7.98437193608056)"
PHX,US,3,58,93,0.6158940397350994,lognorm,"(1.5864584804548603, 0.5853366419369543, 11.748702927258705)"
PSE,B6,1,332,82,0.19806763285024154,lognorm,"(1.4024012681145448, 0.39586675181410147, 14.034107038697373)"
PSE,B6,3,2,0,0.0,n/a,n/a
BQN,B6,1,217,71,0.2465277777777778,lognorm,"(1.742918135621336, 0.7310110854284115, 12.988340772527632)"
BQN,B6,2,108,45,0.29411764705882354,lognorm,"(1.3353301044589565, 0.5033586419946396, 10.24109928768515)"
LAX,F9,1,37,14,0.27450980392156865,expon,"(3.0, 21.428571428571427)"
LAX,F9,3,10,0,0.0,n/a,n/a
LAX,UA,1,126,74,0.37,weibull_min,"(0.6190089901159437, 0.9999999999999999, 32.774196601051344)"
LAX,UA,2,204,55,0.21235521235521235,lognorm,"(1.2731598781579203, 0.5251616956237968, 14.792121720247437)"
LAX,UA,3,7,1,0.125,beta,"(1.0000032513402397, 1.0000005071051414, 424.99977319967, 0.0002499836175702512)"
LAX,AA,1,209,109,0.34276729559748426,gamma,"(0.7178447965289318, 0.9999999999999999, 31.786664479538647)"
LAX,AA,2,201,147,0.4224137931034483,lognorm,"(1.3202823976734184, 0.4648994393789967, 12.026963526357475)"
LAX,AA,3,3,4,0.5714285714285714,expon,"(35.0, 29.5)"
LAX,DL,1,190,137,0.4189602446483181,lognorm,"(1.3300476984435035, 0.428709248304887, 9.349716797499664)"
LAX,DL,2,166,163,0.4954407294832826,lognorm,"(1.0280166424129178, -0.5987606131151084, 12.423735313500742)"
LAX,DL,3,97,129,0.5707964601769911,lognorm,"(1.2684631531435655, -0.024817326621090825, 17.517284826832114)"
LAX,VX,2,203,128,0.3867069486404834,gamma,"(0.7932352118689804, 0.9999999999999998, 19.49483453937364)"
LAX,VX,3,1,2,0.6666666666666666,expon,"(251.0, 44.0)"
SLC,B6,1,157,176,0.5285285285285285,lognorm,"(1.038344680187401, -0.9525279987467865, 19.57799921219855)"
SLC,B6,3,1,0,0.0,n/a,n/a
SLC,DL,1,195,51,0.2073170731707317,lognorm,"(1.086127197589963, 0.22027079511535141, 12.280243924179615)"
SLC,DL,2,242,86,0.2621951219512195,lognorm,"(1.2358348477403616, 0.2076810402491711, 10.51926901741388)"
SLC,DL,3,207,124,0.37462235649546827,lognorm,"(1.193882498594344, 0.040032158831274534, 11.968881050668916)"
SFO,UA,1,67,59,0.4682539682539682,lognorm,"(1.3910362327686554, 0.5383743742587566, 16.814011867820902)"
SFO,UA,2,191,119,0.38387096774193546,lognorm,"(1.1896175030482463, 0.23293027244375553, 9.057112483846492)"
SFO,UA,3,215,146,0.40443213296398894,lognorm,"(1.3258534789464593, 0.21606158800529873, 18.768685069612374)"
SJU,B6,1,314,67,0.17585301837270342,lognorm,"(1.654883210378813, 0.7020388670590574, 11.079152512770968)"
SJU,B6,2,534,251,0.3197452229299363,gamma,"(0.8952828359880047, 0.9999999999999998, 16.310309479988874)"
SJU,B6,3,431,361,0.4558080808080808,lognorm,"(1.1709217888370693, -0.6594147273681501, 22.697260888866325)"
SJU,WN,1,344,45,0.11568123393316194,beta,"(0.6145335805530658, 1235.62354013711, 0.9999999999999999, 11185.18207594131)"
SJU,WN,2,499,130,0.2066772655007949,weibull_min,"(0.644123195568655, 0.9999999999999998, 17.216396528825648)"
SJU,WN,3,239,145,0.3776041666666667,lognorm,"(1.5926441490595549, 0.6536062386077153, 14.018064243562993)"
SJU,NK,1,11,4,0.26666666666666666,gamma,"(165.9491769734414, -18.31391227441938, 0.1329504860148328)"
SJU,NK,2,107,62,0.3668639053254438,lognorm,"(1.0961449921565114, -0.1690263517397269, 18.936479735716738)"
SJU,NK,3,4,4,0.5,expon,"(154.0, 25.25)"
PHL,F9,1,220,96,0.3037974683544304,lognorm,"(1.9440396575368264, 0.8941643392127574, 7.850423243614175)"
PHL,F9,2,99,126,0.56,lognorm,"(1.344119235390581, 0.18258319371538362, 21.872372016565098)"
PHL,F9,3,44,138,0.7582417582417582,lognorm,"(1.2345492396531141, -0.40870450676137204, 32.90621460405245)"
PHL,WN,1,484,97,0.16695352839931152,expon,"(1.0, 11.092783505154639)"
PHL,WN,2,396,207,0.34328358208955223,lognorm,"(1.2861105361283296, 0.24866178342278933, 15.11502477280402)"
PHL,WN,3,155,185,0.5441176470588235,beta,"(0.9021112468642491, 4.248434009840951, 0.9999999999999999, 416.0574852752536)"
PHL,AA,1,212,71,0.2508833922261484,expon,"(1.0, 17.08450704225352)"
PHL,AA,2,337,244,0.4199655765920826,expon,"(1.0, 25.934426229508198)"
PHL,AA,3,172,144,0.4556962025316456,lognorm,"(1.0719539026243703, -1.738432731212292, 32.622316742059034)"
PHL,US,1,256,92,0.26436781609195403,lognorm,"(1.485833967603401, 0.6197594819459205, 8.968504893515881)"
PHL,US,2,369,334,0.4751066856330014,lognorm,"(1.2160633111332269, -0.020698223854424103, 14.927700828636265)"
PHL,US,3,216,175,0.4475703324808184,lognorm,"(1.27521957745835, -0.3032626327251451, 26.1988441826879)"
FLL,NK,1,210,123,0.36936936936936937,lognorm,"(1.3438706764752197, 0.5526744913610879, 7.772359084961056)"
FLL,NK,2,0,1,1.0,beta,"(1.027452278594352, 0.997672376265439, 259.99999999999994, 8.244617572332939e-14)"
FLL,NK,3,167,166,0.4984984984984985,lognorm,"(1.3223955610634137, 0.1636626947763099, 13.936523924944437)"
ATL,F9,1,2,8,0.8,lognorm,"(0.7234773557155578, -5.342512556009954, 23.402566978442977)"
ATL,F9,2,137,129,0.4849624060150376,lognorm,"(1.5105997292264348, 0.5503587679984849, 19.72127662462293)"
ATL,F9,3,2,14,0.875,uniform,"(24.0, 559.0)"
ATL,WN,1,518,111,0.17647058823529413,lognorm,"(1.3388085433672212, 0.5341778417941109, 7.157981189594284)"
ATL,WN,2,643,385,0.3745136186770428,lognorm,"(1.315509751683522, 0.20424877555182597, 14.667207492825057)"
ATL,WN,3,351,351,0.5,lognorm,"(1.1110776537314089, -1.1887531719806437, 25.89571146999456)"
ATL,DL,1,837,458,0.3536679536679537,lognorm,"(1.2637749022651152, 0.5233758189671662, 5.470117390911013)"
ATL,DL,2,1639,952,0.3674257043612505,lognorm,"(1.4725631745877252, 0.6104376409506808, 7.894955162239391)"
ATL,DL,3,785,576,0.42321822189566494,lognorm,"(1.3833093305669275, 0.3531643315548085, 14.35113642353264)"
ATL,NK,1,131,71,0.35148514851485146,lognorm,"(1.6723772477950978, 0.865497556125859, 7.540031201673788)"
ATL,NK,2,18,62,0.775,lognorm,"(0.8277288184247958, -3.657122317438696, 27.109624014698184)"
ATL,NK,3,10,12,0.5454545454545454,beta,"(0.6698081290380714, 1.028317199468348, 10.999999999999998, 191.55259493986628)"
EWR,UA,1,520,150,0.22388059701492535,lognorm,"(1.6734030038002952, 0.7485529356788885, 7.774157536649792)"
EWR,UA,2,982,560,0.3631647211413748,lognorm,"(1.22279345228359, -0.05500923503937616, 16.799888810258622)"
EWR,UA,3,381,432,0.5313653136531366,gamma,"(0.8898579345064506, 0.9999999999999998, 57.02747877394415)"
EWR,B6,1,305,47,0.13352272727272727,beta,"(0.5454575399536847, 385.062025755985, 0.9999999999999999, 7280.288059826982)"
EWR,B6,2,510,319,0.3848009650180941,gamma,"(0.8858169870040553, 0.9999999999995384, 29.824733961346315)"
EWR,B6,3,234,334,0.5880281690140845,expon,"(1.0, 60.66467065868263)"
CLE,F9,1,184,125,0.4045307443365696,lognorm,"(1.6119411038795635, 0.6571971929006513, 10.803206750739275)"
CLE,F9,2,128,107,0.4553191489361702,lognorm,"(1.3325728817114266, -0.215094733054158, 28.556488763180226)"
CLE,F9,3,38,61,0.6161616161616161,lognorm,"(1.184320778892364, -0.04336749188155393, 14.341698684773027)"
CLE,UA,1,277,53,0.1606060606060606,lognorm,"(1.2648114616964912, 0.5941660430482741, 6.717005962073891)"
CLE,UA,2,96,28,0.2258064516129032,weibull_min,"(0.7753347128340415, 0.9999999999999998, 23.45808794588562)"
CLE,UA,3,2,1,0.3333333333333333,beta,"(1.0000077367419102, 1.0000003683720236, 268.9997762772076, 0.00024995587415842496)"
CLE,WN,1,3,2,0.4,lognorm,"(3.607024196035849, 10.997192470069482, 10.386335886095377)"
CLE,NK,1,80,90,0.5294117647058824,beta,"(0.6284198190266215, 1.562680455264439, 0.9999999999999999, 111.53420576904065)"
CLE,NK,2,64,37,0.3663366336633663,lognorm,"(1.6242374067317578, 0.6632746358484594, 20.339590865018103)"
CLE,NK,3,2,2,0.5,lognorm,"(13.708168157889428, 188.99999999999994, 0.6981645379441213)"
CLE,EV,1,1,1,0.5,lognorm,"(1.3343223694815105, 1.9999999999999996, 4.4287231122058245e-16)"
CAK,WN,1,173,26,0.1306532663316583,expon,"(2.0, 16.846153846153847)"
CAK,WN,2,229,88,0.27760252365930604,gamma,"(0.7771719245857241, 0.9999999999999999, 28.39715678431341)"
CAK,WN,3,17,14,0.4516129032258064,expon,"(6.0, 53.92857142857143)"
BWI,B6,2,40,10,0.2,lognorm,"(1.6100858865491072, 2.752914405955635, 6.93160473141902)"
BWI,WN,1,618,198,0.2426470588235294,expon,"(1.0, 13.767676767676768)"
BWI,WN,2,726,479,0.3975103734439834,lognorm,"(1.344817394441931, 0.27488945970309475, 14.391115157127949)"
BWI,WN,3,468,574,0.5508637236084453,lognorm,"(1.1787257542662706, -0.7145838856250795, 25.58140675647107)"
DCA,B6,1,379,123,0.2450199203187251,lognorm,"(1.2774052016325061, 0.4934177609490341, 6.954967275348395)"
DCA,B6,2,257,215,0.4555084745762712,lognorm,"(1.2070869184218642, -0.16034061945818773, 17.818018795010353)"
DCA,B6,3,218,161,0.424802110817942,lognorm,"(1.4740412946301626, 0.4926885085131553, 20.01649951404246)"
DCA,WN,2,33,18,0.35294117647058826,lognorm,"(1.34108258539354, 0.18821095652859732, 14.612815408612612)"
DCA,WN,3,0,10,1.0,beta,"(0.5562556548905723, 1.8160627509488505, 91.99999999999999, 262.37312407800067)"
DCA,AA,1,124,29,0.1895424836601307,triang,"(5.0419721000699475e-08, 0.9999971445896647, 40.976135570775284)"
DCA,AA,2,322,139,0.30151843817787416,lognorm,"(1.5617695927737025, 0.6438842801008592, 11.785396910319605)"
DCA,AA,3,147,113,0.4346153846153846,expon,"(1.0, 44.92920353982301)"
DCA,US,1,169,31,0.155,lognorm,"(1.0286287605954612, 0.19641587420179835, 6.629226817202248)"
DCA,US,2,439,130,0.22847100175746926,lognorm,"(1.319356596033066, 0.19770205118007284, 14.758348782537404)"
DCA,US,3,159,134,0.4573378839590443,lognorm,"(1.3372157741113098, -0.08960420078551953, 21.449098044304392)"
PIT,WN,1,384,38,0.09004739336492891,beta,"(0.4845889951110954, 1.4748420395881787, 0.9999999999999999, 78.89968342750504)"
PIT,WN,2,577,196,0.2535575679172057,lognorm,"(1.3338429413971467, 0.40065237055173075, 12.718776203615095)"
PIT,WN,3,118,160,0.5755395683453237,lognorm,"(1.1907940431772528, -0.473133199168314, 33.66238733240269)"
RIC,B6,1,223,56,0.2007168458781362,lognorm,"(0.9605641120929148, -0.07373850509519603, 7.799031645969592)"
RIC,B6,2,31,21,0.40384615384615385,lognorm,"(1.5514655806230468, 0.5617177098734218, 16.813053729118742)"
RIC,B6,3,3,0,0.0,n/a,n/a
RIC,WN,1,220,43,0.1634980988593156,gamma,"(0.6226505948090567, 0.9999999999999999, 25.669554920797538)"
RIC,WN,2,33,34,0.5074626865671642,gamma,"(0.517173580681549, 0.9999999999999998, 63.040635367548674)"
RIC,WN,3,1,3,0.75,lognorm,"(6.961037709955068, 280.99999999999994, 6.433182851640986)"
RIC,EV,1,9,3,0.25,lognorm,"(18.795194545570446, 2.9999999999999996, 16.499438242444633)"
RIC,EV,2,0,4,1.0,weibull_min,"(0.7962570808646907, 22.999999999999996, 137.16010871100477)"
RIC,EV,3,0,1,1.0,beta,"(1.0000032513402397, 1.0000005071051414, 328.9998244298622, 0.0002499836175702512)"
PVD,B6,1,253,69,0.21428571428571427,expon,"(1.0, 15.275362318840578)"
PVD,B6,2,140,105,0.42857142857142855,lognorm,"(1.1957874904862837, -0.24223533490962246, 15.713297777699374)"
PVD,B6,3,48,45,0.4838709677419355,weibull_min,"(0.8123461534078195, 1.9999999999999998, 83.30218129349399)"
PVD,WN,1,373,48,0.11401425178147268,lognorm,"(1.2119762029574481, 0.36641682658040486, 11.721266250616662)"
PVD,WN,2,403,178,0.306368330464716,lognorm,"(1.3339078385345329, 0.31365180802203796, 15.058448467213815)"
PVD,WN,3,216,145,0.40166204986149584,lognorm,"(9.46210963084285, 0.9999999999999998, 41.377284864831424)"
DFW,AA,1,415,165,0.2844827586206897,lognorm,"(10.944568652134592, 0.9999999999999998, 16.793690517951056)"
DFW,AA,2,959,715,0.4271206690561529,lognorm,"(1.3126214835557048, 0.29953297360991854, 13.811571432665199)"
DFW,AA,3,581,493,0.4590316573556797,lognorm,"(1.3251925073908737, 0.15236781295088803, 19.054063184713186)"
DFW,NK,1,84,33,0.28205128205128205,weibull_min,"(0.47964154401863435, 0.9999999999999999, 13.393212479124541)"
DFW,NK,2,162,180,0.5263157894736842,lognorm,"(1.411454067387115, 0.5162660945242488, 11.58481692204618)"
DFW,NK,3,9,30,0.7692307692307693,expon,"(17.0, 101.1)"
ORD,F9,1,10,4,0.2857142857142857,gamma,"(0.3230433704418393, 2.999999999999999, 131.94227591753344)"
ORD,F9,2,91,197,0.6840277777777778,lognorm,"(1.1282307013146213, -0.41364588756297826, 15.919992007967261)"
ORD,F9,3,52,71,0.5772357723577236,weibull_min,"(0.7609392912661865, 0.9999999999999999, 82.09190467344627)"
ORD,UA,1,320,98,0.23444976076555024,lognorm,"(1.314013673007242, 0.5232488266345343, 6.840425472086138)"
ORD,UA,2,617,446,0.4195672624647225,lognorm,"(1.5933306614985847, 0.6181220677611887, 12.044058124144563)"
ORD,UA,3,222,314,0.5858208955223879,gamma,"(0.7616106987838818, 0.9999999999999998, 63.733114332307125)"
ORD,AA,1,220,53,0.19413919413919412,lognorm,"(0.7133896118235967, -2.6727654608120783, 16.055105855710778)"
ORD,AA,2,597,354,0.3722397476340694,lognorm,"(1.2315199089074655, -0.07267253067990129, 17.94439131134503)"
ORD,AA,3,196,175,0.4716981132075472,lognorm,"(1.3450309362968715, -0.010223494551482692, 27.647921057984107)"
ORD,NK,1,21,22,0.5116279069767442,expon,"(1.0, 17.363636363636363)"
ORD,NK,2,140,191,0.5770392749244713,lognorm,"(1.2155649489311324, -0.11568232845910545, 21.083975565800323)"
ORD,NK,3,4,1,0.2,beta,"(1.0452772226791955, 1.0146680401470316, 29.999999999999996, 7.14483498179756e-15)"
ALB,B6,2,6,2,0.25,lognorm,"(7.312791572421707, 7.999999999999999, 1.1748272978265795)"
ALB,B6,3,6,8,0.5714285714285714,weibull_min,"(0.7261684532605348, 11.999999999999998, 46.616013657218474)"
ALB,WN,1,277,39,0.12341772151898735,lognorm,"(1.2042890199698897, 1.3247770678705146, 9.385418686396811)"
ALB,WN,2,207,70,0.2527075812274368,lognorm,"(1.3094864049416404, 0.44511048615237003, 13.373753932380664)"
ALB,WN,3,48,28,0.3684210526315789,weibull_min,"(0.7191892091981797, 3.999999999999999, 116.10213233767783)"
ACY,NK,1,243,81,0.25,weibull_min,"(0.8089094359497158, 0.9999999999999998, 15.735611199690254)"
ACY,NK,2,71,66,0.4817518248175183,lognorm,"(1.6499659849007262, 0.724817811947474, 13.001879933657314)"
ACY,NK,3,155,178,0.5345345345345346,lognorm,"(1.1475706300440902, -1.0525177494179168, 25.401126393115995)"
MHT,WN,1,292,33,0.10153846153846154,gamma,"(0.5919511230117303, 0.9999999999999998, 33.548680056817645)"
MHT,WN,2,218,71,0.24567474048442905,lognorm,"(1.2063074657333503, 0.5357094551946026, 13.382369647087376)"
MHT,WN,3,35,55,0.6111111111111112,weibull_min,"(0.7565280853007679, 1.9999999999999998, 78.06717133906727)"
HOU,WN,1,223,55,0.19784172661870505,expon,"(1.0, 9.581818181818182)"
HOU,WN,2,275,316,0.5346869712351946,lognorm,"(1.2185317396134998, 0.11042301645053196, 12.13033308070905)"
HOU,WN,3,184,346,0.6528301886792452,lognorm,"(1.0882178485796976, -1.0386833101077506, 25.482937424859788)"
MEM,WN,1,27,11,0.2894736842105263,weibull_min,"(0.410644109394251, 1.9999999999999998, 25.282230898365704)"
MEM,WN,2,218,106,0.3271604938271605,lognorm,"(1.4495811972692625, 0.5375358381045807, 12.584780035725647)"
MEM,WN,3,7,7,0.5,expon,"(9.0, 80.42857142857143)"
MEM,DL,1,3,1,0.25,beta,"(1.040224686996357, 1.01459144868475, 10.999999999999998, 2.7952524209070948e-15)"
MEM,EV,1,2,1,0.3333333333333333,beta,"(1.0412764109014203, 1.0145644966519507, 4.999999999999999, 1.5237117999520997e-15)"
ISP,WN,1,269,40,0.12944983818770225,lognorm,"(1.6112586587893547, 0.627354143763103, 12.458580598571505)"
ISP,WN,2,293,118,0.2871046228710462,lognorm,"(1.200589818050173, -0.057800627443179785, 17.95933031584506)"
ISP,WN,3,196,144,0.4235294117647059,lognorm,"(1.426929871205905, 0.2257691312513502, 24.074290776578565)"
IAH,F9,2,3,10,0.7692307692307693,weibull_min,"(0.7248273587818573, 6.999999999999998, 20.87773714642468)"
IAH,UA,1,296,105,0.26184538653366585,weibull_min,"(0.6279447053259835, 0.9999999999999999, 10.142229429766449)"
IAH,UA,2,751,650,0.46395431834404,lognorm,"(1.3039918655029634, 0.2142731413354818, 13.978177109126138)"
IAH,UA,3,166,279,0.6269662921348315,weibull_min,"(0.6591859723304394, 0.9999999999999998, 73.75334112609738)"
IAH,NK,1,69,81,0.54,lognorm,"(0.8729060091261415, -1.004178453761189, 14.250085529209269)"
IAH,NK,2,61,127,0.6755319148936171,weibull_min,"(0.7999815678164011, 0.9999999999999999, 39.048848538254234)"
IAH,NK,3,2,10,0.8333333333333334,weibull_min,"(0.3216855997640735, 2.9999999999999996, 204.5806365708667)"
DTW,F9,2,32,9,0.2195121951219512,beta,"(0.828049214391877, 0.8566105190825307, 5.999999999999999, 20.003085230941693)"
DTW,WN,2,1,0,0.0,n/a,n/a
DTW,DL,1,203,128,0.3867069486404834,n/a,n/a
DTW,DL,2,679,306,0.31065989847715736,lognorm,"(1.4031010128106567, 0.5219808347860064, 10.13271963455696)"
DTW,DL,3,384,273,0.4155251141552511,lognorm,"(1.4605648881212145, 0.5510694245569328, 12.14183771159296)"
DTW,NK,1,159,90,0.3614457831325301,lognorm,"(0.8219481785105396, -0.8629725996949348, 9.602140820527659)"
DTW,NK,2,161,201,0.5552486187845304,expon,"(1.0, 33.92537313432836)"
DTW,NK,3,7,2,0.2222222222222222,expon,"(130.0, 226.5)"
BOS,B6,1,370,124,0.25101214574898784,expon,"(1.0, 14.483870967741936)"
BOS,B6,2,620,399,0.3915603532875368,lognorm,"(1.218431048712863, -0.22125927770077447, 16.99448470523322)"
BOS,B6,3,316,417,0.5688949522510232,lognorm,"(1.1679188957246556, -0.7508811390662204, 24.752895140101973)"
BOS,WN,1,6,8,0.5714285714285714,expon,"(2.0, 3.75)"
BOS,WN,2,4,4,0.5,weibull_min,"(0.09417925975739483, 8.999999999999998, 221.57471302514182)"
BOS,WN,3,1,0,0.0,n/a,n/a
BOS,DL,1,256,40,0.13513513513513514,lognorm,"(1.2675512203960317, 0.8040903169836602, 5.204875922501127)"
BOS,DL,2,126,125,0.4980079681274901,lognorm,"(1.0949412019583562, 0.13644266552577528, 16.046500872291737)"
BOS,DL,3,21,15,0.4166666666666667,expon,"(1.0, 214.46666666666667)"
MCI,WN,1,278,52,0.15757575757575756,lognorm,"(1.7777199465991202, 0.8648357674347252, 6.130398739283052)"
MCI,WN,2,201,138,0.4070796460176992,lognorm,"(1.4141594872785217, 0.4865202533663684, 9.78019859251511)"
MCI,WN,3,119,115,0.4914529914529914,weibull_min,"(0.8313119251441717, 0.9999999999999998, 46.77971082422758)"
MCI,DL,2,0,1,1.0,beta,"(1.0557598711362433, 1.0136330517922305, 63.99999999999999, 1.1059100690255959e-14)"
MCI,EV,2,3,2,0.4,expon,"(1.0, 23.5)"
STL,F9,1,58,19,0.24675324675324675,gamma,"(0.6790182877233906, 0.9999999999999998, 14.391291372473088)"
STL,F9,2,30,18,0.375,gamma,"(0.3314356825670387, 3.9999999999999996, 226.24367785018987)"
STL,F9,3,39,36,0.48,beta,"(0.70176976071933, 150.68103921466638, 0.9999999999999999, 3310.220796445289)"
STL,WN,1,272,33,0.1081967213114754,beta,"(0.5249952353724492, 14.961247939072134, 0.9999999999999999, 405.33638547529927)"
STL,WN,2,396,224,0.3612903225806451,lognorm,"(1.3998853602892725, 0.44060821894832924, 10.343891988839733)"
STL,WN,3,218,186,0.4603960396039604,lognorm,"(1.077159126502357, -0.9519322305294755, 26.47935763492366)"
BDL,B6,1,126,39,0.2363636363636364,triang,"(2.2196762533275267e-09, 0.9999999057986315, 32.12593275770292)"
BDL,B6,2,127,55,0.3021978021978022,lognorm,"(1.4535111316013647, 0.3263376702579982, 13.221916612814042)"
BDL,B6,3,167,173,0.5088235294117647,gamma,"(0.7448473291069251, 0.9999999999999999, 62.22934034459628)"
BDL,WN,1,267,47,0.14968152866242038,lognorm,"(1.1713734365407955, 0.5054693638348084, 7.922698689607872)"
BDL,WN,2,360,127,0.26078028747433263,lognorm,"(1.4511138289127516, 0.4484764830677681, 10.55171875805426)"
BDL,WN,3,82,64,0.4383561643835616,lognorm,"(1.3655103831710487, 0.7134152987944296, 33.25341097258778)"
BDL,EV,1,19,7,0.2692307692307692,expon,"(4.0, 13.142857142857142)"
BDL,EV,2,0,6,1.0,expon,"(13.0, 111.0)"
BDL,EV,3,1,0,0.0,n/a,n/a
MSY,WN,1,218,55,0.20146520146520147,beta,"(0.9441478301227808, 330.2776453087505, 0.9999999999999999, 2403.425674664328)"
